id,id_2,X,Y,InsPixel,NDVIPixel
"2197","1",23261.565686000001733,197898.204557999997633,427654.50000,0.30412
"2198","1",23262.065686000001733,197898.204557999997633,437755.50000,0.32808
"2199","1",23262.565686000001733,197898.204557999997633,414673.25000,0.33156
"2200","1",23263.065686000001733,197898.204557999997633,431346.43750,0.46269
"2201","1",23263.565686000001733,197898.204557999997633,343087.84375,0.41341
"2202","1",23264.065686000001733,197898.204557999997633,385244.00000,0.29600
"2245","1",23285.565686000001733,197898.204557999997633,364290.40625,0.25628
"2246","1",23286.065686000001733,197898.204557999997633,258172.90625,0.23188
"2247","1",23286.565686000001733,197898.204557999997633,306345.59375,0.23989
"2248","1",23287.065686000001733,197898.204557999997633,305815.62500,0.19059
"2249","1",23287.565686000001733,197898.204557999997633,167254.14063,0.26952
"2250","1",23288.065686000001733,197898.204557999997633,384915.00000,0.31129
"2251","1",23288.565686000001733,197898.204557999997633,376453.18750,0.34000
"2252","1",23289.065686000001733,197898.204557999997633,260423.25000,0.28367
"2253","1",23289.565686000001733,197898.204557999997633,397168.28125,0.31138
"2254","1",23290.065686000001733,197898.204557999997633,305890.40625,0.31210
"2293","1",23309.565686000001733,197898.204557999997633,352267.84375,0.26236
"2294","1",23310.065686000001733,197898.204557999997633,297685.09375,0.33086
"2295","1",23310.565686000001733,197898.204557999997633,283093.43750,0.29193
"2296","1",23311.065686000001733,197898.204557999997633,393118.12500,0.08889
"2297","1",23311.565686000001733,197898.204557999997633,401774.62500,0.11239
"2298","1",23312.065686000001733,197898.204557999997633,405929.18750,0.23867
"2299","1",23312.565686000001733,197898.204557999997633,406411.65625,0.25879
"2300","1",23313.065686000001733,197898.204557999997633,439630.28125,0.19874
"2301","1",23313.565686000001733,197898.204557999997633,432785.34375,0.11168
"2302","1",23314.065686000001733,197898.204557999997633,421052.18750,0.12019
"2303","1",23314.565686000001733,197898.204557999997633,433469.37500,0.19429
"2304","1",23315.065686000001733,197898.204557999997633,445351.50000,0.09264
"2305","1",23315.565686000001733,197898.204557999997633,452806.43750,0.25444
"2306","1",23316.065686000001733,197898.204557999997633,440684.68750,0.23288
"2307","1",23316.565686000001733,197898.204557999997633,455161.40625,0.10476
"2308","1",23317.065686000001733,197898.204557999997633,461026.93750,0.19266
"2309","1",23317.565686000001733,197898.204557999997633,459819.71875,0.14948
"2310","1",23318.065686000001733,197898.204557999997633,452918.15625,0.23125
"2311","1",23318.565686000001733,197898.204557999997633,447239.00000,0.21875
"2312","1",23319.065686000001733,197898.204557999997633,443312.37500,0.11268
"2313","1",23319.565686000001733,197898.204557999997633,461865.75000,0.15013
"2314","1",23320.065686000001733,197898.204557999997633,462825.28125,0.00990
"2315","1",23320.565686000001733,197898.204557999997633,457393.40625,0.03448
"2316","1",23321.065686000001733,197898.204557999997633,457002.53125,0.15429
"2317","1",23321.565686000001733,197898.204557999997633,450943.81250,0.25373
"2318","1",23322.065686000001733,197898.204557999997633,436325.25000,0.23420
"2394","1",23253.565686000001733,197897.704557999997633,427194.50000,0.09677
"2395","1",23254.065686000001733,197897.704557999997633,437271.59375,0.17553
"2396","1",23254.565686000001733,197897.704557999997633,444345.93750,0.07882
"2397","1",23255.065686000001733,197897.704557999997633,395092.90625,0.10327
"2398","1",23255.565686000001733,197897.704557999997633,421814.87500,0.27331
"2399","1",23256.065686000001733,197897.704557999997633,443336.18750,0.17617
"2400","1",23256.565686000001733,197897.704557999997633,437811.28125,0.23699
"2401","1",23257.065686000001733,197897.704557999997633,428953.28125,0.19149
"2402","1",23257.565686000001733,197897.704557999997633,259502.65625,0.13501
"2403","1",23258.065686000001733,197897.704557999997633,436206.31250,0.17500
"2404","1",23258.565686000001733,197897.704557999997633,438117.59375,0.18945
"2405","1",23259.065686000001733,197897.704557999997633,329673.53125,0.23238
"2406","1",23259.565686000001733,197897.704557999997633,367384.56250,0.34074
"2407","1",23260.065686000001733,197897.704557999997633,352346.71875,0.17380
"2408","1",23260.565686000001733,197897.704557999997633,303055.56250,0.19622
"2409","1",23261.065686000001733,197897.704557999997633,403066.15625,0.34682
"2410","1",23261.565686000001733,197897.704557999997633,399247.25000,0.16788
"2411","1",23262.065686000001733,197897.704557999997633,341457.84375,0.30790
"2412","1",23262.565686000001733,197897.704557999997633,426418.81250,0.26952
"2413","1",23263.065686000001733,197897.704557999997633,393669.15625,0.35870
"2414","1",23263.565686000001733,197897.704557999997633,337438.50000,0.30390
"2415","1",23264.065686000001733,197897.704557999997633,87932.71094,0.35714
"2416","1",23264.565686000001733,197897.704557999997633,369665.84375,0.31429
"2456","1",23284.565686000001733,197897.704557999997633,330261.34375,0.48913
"2457","1",23285.065686000001733,197897.704557999997633,344313.50000,0.46939
"2458","1",23285.565686000001733,197897.704557999997633,418477.12500,0.24623
"2459","1",23286.065686000001733,197897.704557999997633,377066.56250,0.29412
"2460","1",23286.565686000001733,197897.704557999997633,360559.78125,0.28889
"2461","1",23287.065686000001733,197897.704557999997633,448210.90625,0.21550
"2462","1",23287.565686000001733,197897.704557999997633,453704.25000,0.21212
"2463","1",23288.065686000001733,197897.704557999997633,375298.03125,0.25964
"2464","1",23288.565686000001733,197897.704557999997633,449357.40625,0.27933
"2465","1",23289.065686000001733,197897.704557999997633,394742.96875,0.29814
"2466","1",23289.565686000001733,197897.704557999997633,327534.62500,0.29210
"2467","1",23290.065686000001733,197897.704557999997633,443190.96875,0.30128
"2468","1",23290.565686000001733,197897.704557999997633,424932.40625,0.33762
"2469","1",23291.065686000001733,197897.704557999997633,441865.46875,0.27684
"2470","1",23291.565686000001733,197897.704557999997633,370893.12500,0.25000
"2471","1",23292.065686000001733,197897.704557999997633,415109.43750,0.27829
"2472","1",23292.565686000001733,197897.704557999997633,436132.84375,0.23588
"2473","1",23293.065686000001733,197897.704557999997633,432919.84375,0.31915
