"id"	"x"	"y"	"model"
"91"	"NDVI"	-13.6515094829366	0.0378590978148419	67
"92"	"NDVI"	-13.1044644004024	0.0537160280282062	67
"93"	"NDVI"	-12.6923958766371	0.0688446545833801	67
"94"	"NDVI"	-12.3656550291159	0.0829428762760583	67
"95"	"NDVI"	-12.0869479531897	0.0964354320618145	67
"96"	"NDVI"	-11.8439153553367	0.109237603621614	67
"97"	"NDVI"	-11.6272384341008	0.121353791086132	67
"98"	"NDVI"	-11.4299863889893	0.132836278698305	67
"99"	"NDVI"	-11.2471274774473	0.143736744392016	67
"100"	"NDVI"	-11.0809182347184	0.153734869408047	67
"101"	"NDVI"	-10.9235257563816	0.163162384034296	67
"102"	"NDVI"	-10.7720104019966	0.172079414478511	67
"103"	"NDVI"	-10.6322587634985	0.180055672520647	67
