"np"	"dist"	"gamma"	"dir.hor"	"dir.ver"	"id"	"model"
"56"	17136	34.9872029250274	0.328580906259559	0	0	"var1"	628
"57"	15480	38.2966299147554	0.321765529373278	0	0	"var1"	628
"58"	13547	41.6282987443003	0.28640276534877	0	0	"var1"	628
"59"	12142	44.9521018439214	0.292672605312692	0	0	"var1"	628
"60"	9601	48.2917213451954	0.297841470996944	0	0	"var1"	628
"61"	5847	1.94049142024485	0.0748827744145047	0	0	"var1"	518
"62"	10560	5.13829076514824	0.304796239723181	0	0	"var1"	518
"63"	15268	8.43841955387795	0.307078693922339	0	0	"var1"	518
"64"	19885	11.6833012816447	0.320262250733824	0	0	"var1"	518
"65"	21138	15.0371286316175	0.414374127119728	0	0	"var1"	518
"66"	23449	18.3570126047201	0.368093455598945	0	0	"var1"	518
"67"	22284	21.6404581454433	0.43913549845484	0	0	"var1"	518
"68"	21065	24.9747948558841	0.418617189489944	0	0	"var1"	518
"69"	19360	28.3285718233252	0.405819790722284	0	0	"var1"	518
"70"	17931	31.6260928791687	0.399906368465575	0	0	"var1"	518
"71"	16627	35.0046046864457	0.365716731317506	0	0	"var1"	518
"72"	15573	38.3117928609524	0.352277367939623	0	0	"var1"	518
"73"	14219	41.6150963334643	0.326610765877705	0	0	"var1"	518
"74"	12594	44.9513265464361	0.319542526717543	0	0	"var1"	518
"75"	10065	48.2885559911412	0.32790383319168	0	0	"var1"	518
"76"	5565	1.94253730528008	0.0668956244110452	0	0	"var1"	275
"77"	10508	5.14012526913203	0.25534737184697	0	0	"var1"	275
"78"	15201	8.42947427784764	0.240720273628274	0	0	"var1"	275
"79"	19609	11.7208873627344	0.271103384633438	0	0	"var1"	275
"80"	21491	15.0357639654389	0.357927277171794	0	0	"var1"	275
"81"	23985	18.3677576884777	0.326675414622379	0	0	"var1"	275
"82"	23291	21.6349780135852	0.389624704823491	0	0	"var1"	275
"83"	22029	24.9728248399644	0.357313280915184	0	0	"var1"	275
"84"	19871	28.3222509424832	0.365726936476837	0	0	"var1"	275
"85"	18084	31.618604801922	0.356944455027824	0	0	"var1"	275
"86"	16988	34.9865435049982	0.336226552401882	0	0	"var1"	275
"87"	15533	38.326469642373	0.323057501731459	0	0	"var1"	275
"88"	13726	41.5925348236408	0.297169013421935	0	0	"var1"	275
"89"	12243	44.954481499011	0.264054252233797	0	0	"var1"	275
"90"	9744	48.3132305768606	0.299024272417245	0	0	"var1"	275
"91"	5585	2.00000618252615	0.0724579038062907	0	0	"var1"	802
"92"	10698	5.12736254629753	0.267153599937274	0	0	"var1"	802
"93"	15288	8.43662199319644	0.296754265391945	0	0	"var1"	802
"94"	19709	11.6942176652326	0.334639597464643	0	0	"var1"	802
"95"	21401	15.0369312203487	0.411306659638868	0	0	"var1"	802
"96"	23070	18.3645368944374	0.370736124190063	0	0	"var1"	802
"97"	23138	21.6605595223886	0.445079668367732	0	0	"var1"	802
"98"	21897	24.9681646619108	0.432737831619672	0	0	"var1"	802
"99"	19873	28.3106730094894	0.425773425649552	0	0	"var1"	802
"100"	18163	31.6231933676553	0.417714916948876	0	0	"var1"	802
"101"	16851	34.9851004076325	0.392515954585994	0	0	"var1"	802
"102"	15618	38.3133430124251	0.361568589682406	0	0	"var1"	802
"103"	14062	41.604489048815	0.347912212699812	0	0	"var1"	802
"104"	12086	44.9319877468856	0.330234601532036	0	0	"var1"	802
"105"	9687	48.2804926061776	0.340701846596429	0	0	"var1"	802
"106"	5429	1.99694055099891	0.0787618601666517	0	0	"var1"	546
"107"	10644	5.12565730443504	0.282880807501548	0	0	"var1"	546
"108"	15397	8.4035678184489	0.284435004124496	0	0	"var1"	546
"109"	19603	11.7112182514004	0.316501010075579	0	0	"var1"	546
"110"	21856	15.0372316821512	0.394812773558508	0	0	"var1"	546
"111"	23568	18.3457953102935	0.37270004063802	0	0	"var1"	546
"112"	23020	21.6464888842198	0.433018759333567	0	0	"var1"	546
"113"	21585	24.9755781849152	0.424114846553123	0	0	"var1"	546
"114"	19988	28.3126340756202	0.423766516413877	0	0	"var1"	546
"115"	17921	31.6184923958821	0.413077975590869	0	0	"var1"	546
"116"	16485	34.989643504456	0.402862516195449	0	0	"var1"	546
"117"	15197	38.3216790189913	0.387755751922819	0	0	"var1"	546
"118"	13787	41.6125445669596	0.348313429741577	0	0	"var1"	546
"119"	12079	44.9488018179863	0.320989136193682	0	0	"var1"	546
"120"	10133	48.2793750984515	0.33646983371774	0	0	"var1"	546
"121"	5443	1.96712203686946	0.068578127467842	0	0	"var1"	684
"122"	10540	5.14405737422265	0.31225985058804	0	0	"var1"	684
"123"	15146	8.43146466101888	0.306796133768618	0	0	"var1"	684
"124"	19964	11.7079149822671	0.348226061443679	0	0	"var1"	684
"125"	21916	15.0312324253622	0.437987338885594	0	0	"var1"	684
"126"	23522	18.3489510425436	0.392979247842533	0	0	"var1"	684
"127"	22991	21.6540011280354	0.466490535387446	0	0	"var1"	684
"128"	22072	24.9721104583992	0.461284522468483	0	0	"var1"	684
"129"	19844	28.3238163001995	0.455241803012159	0	0	"var1"	684
"130"	17853	31.6178027350544	0.463832779899027	0	0	"var1"	684
"131"	17013	35.0009978821877	0.426272064857265	0	0	"var1"	684
"132"	15518	38.3093805951289	0.403410481270492	0	0	"var1"	684
"133"	14340	41.6025874748187	0.365143092307719	0	0	"var1"	684
"134"	12374	44.9543005386146	0.34705427793282	0	0	"var1"	684
"135"	9823	48.2946072208981	0.393393634965948	0	0	"var1"	684
"136"	5841	1.96770413563185	0.0563660473686844	0	0	"var1"	823
"137"	10525	5.12258593641303	0.217245629859008	0	0	"var1"	823
"138"	15455	8.42594585859321	0.221976462614603	0	0	"var1"	823
"139"	20189	11.6952169401041	0.273207570005709	0	0	"var1"	823
"140"	21330	15.0194727017312	0.347792017664942	0	0	"var1"	823
"141"	23456	18.3557402007734	0.30863843538788	0	0	"var1"	823
"142"	22953	21.6584159744634	0.349796094984931	0	0	"var1"	823
"143"	21147	24.9683343458687	0.331921905495739	0	0	"var1"	823
"144"	19113	28.3244404529038	0.346087794596306	0	0	"var1"	823
